TMX,TMY,Tectonic Bedrock Age (MA),Interpreted Bedrock Age (MA),TMI,RTP,1VD,DGIR,AuSREM,Prox_Ultramafic Source,Prox_MajorCrustal,Prox_Fault,worms_mag_1km,worms_mag_4.6km,worms_mag_11km,worms_mag_50km,worms_grav_1km,worms_grav_4.6km,worms_grav_11km,worms_grav_50km,K_pct,Th_ppm,U_ppm,Ni_mine
13465000,-3235000,3010,3010,-162.0467682,-172.3765106,-0.012567845,-2.232872009,219.986,1010.179384,5999.327918,5301.452083,53.138956,49.686799,36.53761,27.726889,45.358432,46.844261,56.242323,52.195066,0.447941,11.486537,0.93557,0
13465000,-3240000,3010,3010,-58.49086761,-45.45160294,0.326255798,-46.35715485,220.48,2332.022886,5248.093978,5468.281577,54.325701,49.870697,35.236355,29.62573,35.919349,47.352449,56.24489,52.202228,0.35402,11.05932,0.847112,1
13465000,-3245000,3010,3010,-135.8945313,-128.0454254,-0.091821671,-61.74541473,220.964,1108.57858,4787.134009,4917.72814,56.634039,49.623953,34.634644,31.0068,35.074699,48.623452,54.986807,52.181764,0.425578,12.672445,1.062888,1
13465000,-3250000,3010,3010,-131.5875092,31.35884285,0.080295831,-60.21357727,221.444,1984.3549,4596.416447,1714.960475,59.384589,49.597023,35.351154,31.886602,29.369164,44.551094,53.723025,52.127006,0.425578,12.672445,1.062888,1
13465000,-3255000,2960,2726,-167.6976929,-148.8480835,-0.087241851,0.704154968,221.916,499.2590015,4803.217271,1478.971254,73.439649,49.26581,37.324006,32.450425,28.713499,42.320313,53.334221,52.029975,0.545167,11.536764,1.391234,0
13465000,-3260000,2960,2726,211.4953918,370.352417,1.782665491,-14.92765045,222.359,0,5610.524755,2632.812986,117.31529,50.38012,36.13956,32.828602,29.593557,42.839358,53.507682,51.880878,0.516602,10.868272,1.361204,0
13465000,-3265000,3010,3010,-244.4801178,-210.4552002,-0.140762895,-67.98190308,222.802,475.033979,7186.389541,5453.390729,125.04994,50.414049,37.889323,33.093148,30.381575,43.79548,53.806986,51.666946,0.616438,10.515773,1.036015,0
13465000,-3270000,2960,2726,-207.9980621,-190.6071472,0.070369333,-56.01400757,223.172,656.0792779,8911.978994,4950.673439,76.165604,49.979579,38.748004,33.28317,30.650116,43.980877,54.040942,51.370973,0.502705,9.863914,0.937027,0
13465000,-3275000,2960,2726,210.7472382,120.3797913,0.201231956,-12.206604,223.509,0,10414.50922,6127.158459,81.82602,49.490985,38.903007,33.420759,30.573529,43.802076,54.339214,50.971085,0.468142,11.376676,1.26367,0
13465000,-3280000,2960,2726,25.00775719,69.59550476,0.113706939,37.87487793,223.813,147.0604488,11744.81279,9224.375632,75.382267,49.072709,38.909654,33.519137,30.274671,43.349436,55.115343,50.446082,0.492573,8.873246,1.008885,1
